i, x, y, r , b
0, 1392, 3734, 9.5, 0.72
1, 1298, 3536, 43.0, 0.36
2, 1909, 3362, 13.0, 0.82
3, 321, 3278, 34.5, 0.98
4, 2835, 3226, 68.0, 0.47
5, 2437, 3031, 9.0, 0.67
6, 2434, 3016, 45.5, 0.33
7, 1527, 2871, 3.5, 0.66
8, 2304, 2774, 64.0, 0.3
9, 1421, 2583, 5.5, 0.69
10, 2138, 2507, 21.5, 0.96
11, 2221, 2271, 42.5, 0.37
12, 1653, 2213, 43.0, 0.45
13, 2484, 2050, 7.5, 0.75
14, 966, 2022, 0.5, 0.49
15, 1868, 2023, 40.0, 0.97
16, 1181, 1902, 14.5, 0.93
17, 1403, 1789, 14.0, 0.96
18, 2430, 1656, 22.0, 0.97
19, 865, 1627, 18.0, 0.98
20, 1499, 1376, 21.0, 0.98
21, 2123, 1213, 14.0, 0.91
22, 2220, 1184, 18.5, 0.95
23, 2808, 1099, 6.0, 0.82
24, 1325, 1043, 19.5, 0.97
25, 1384, 1015, 9.5, 0.9
26, 1486, 699, 6.5, 0.86
27, 1907, 379, 23.0, 1.0
28, 3001, 165, 18.0, 0.91
29, 2591, 100, 1.5, 0.64
